filename,start,duration,score
Raw_Wav_20180223_015026.wav,103.5,0.5,0.534268004
Raw_Wav_20180223_015026.wav,106,9,0.883689567
Raw_Wav_20180223_015026.wav,117.5,10.5,0.890177382
Raw_Wav_20180223_015026.wav,128,10,0.867355601
Raw_Wav_20180223_015026.wav,143.5,9,0.819267556
Raw_Wav_20180223_015026.wav,155,5,0.950766177
Raw_Wav_20180223_015026.wav,160,8,0.738323699
Raw_Wav_20180223_015026.wav,172,9.5,0.873807128
Raw_Wav_20180223_015026.wav,187,4,0.842072615
Raw_Wav_20180223_015026.wav,197,12,0.84632734
Raw_Wav_20180223_015026.wav,213,10,0.920443153
Raw_Wav_20180223_015026.wav,224.5,17,0.90837188
Raw_Wav_20180223_015026.wav,248,2.5,0.771458288
Raw_Wav_20180223_015026.wav,253.5,2.5,0.759387837
Raw_Wav_20180223_015026.wav,258,11,0.94668936
Raw_Wav_20180223_015026.wav,275,5,0.905489031
Raw_Wav_20180223_015026.wav,281.5,3,0.786600225
Raw_Wav_20180223_015026.wav,286.5,1.5,0.811148272
Raw_Wav_20180223_015026.wav,288,2,0.753180419
Raw_Wav_20180223_015026.wav,291.5,28,0.923671172
Raw_Wav_20180223_015026.wav,322.5,8.5,0.924045078
Raw_Wav_20180223_015026.wav,334.5,4.5,0.884779607
Raw_Wav_20180223_015026.wav,340.5,11.5,0.940165172
Raw_Wav_20180223_015026.wav,352,15,0.941137835
Raw_Wav_20180223_015026.wav,368.5,15.5,0.916252374
Raw_Wav_20180223_015026.wav,384,4,0.857790977
Raw_Wav_20180223_015026.wav,388.5,17.5,0.895024441
Raw_Wav_20180223_015026.wav,410,2.5,0.769597142
Raw_Wav_20180223_015026.wav,424,6,0.873147885
Raw_Wav_20180223_015026.wav,437,6.5,0.895315006
Raw_Wav_20180223_015026.wav,447,1,0.606091756
Raw_Wav_20180223_015026.wav,448,2.5,0.835530663
Raw_Wav_20180223_015026.wav,455,4,0.785061333
Raw_Wav_20180223_015026.wav,462,7,0.793598135
Raw_Wav_20180223_015026.wav,473,7,0.958489248
Raw_Wav_20180223_015026.wav,480,1.5,0.726891299
